title,trending_date,sumDay,id
Jiren doesn't care friendship/Goku gets Angry DBS 130 HD 1080p,"['18.19.03', '18.20.03', '18.21.03', '18.22.03', '18.23.03', '18.24.03', '18.25.03', '18.26.03', '18.27.03', '18.28.03', '18.29.03', '18.30.03', '18.31.03', '18.01.04', '18.02.04', '18.03.04', '18.04.04', '18.05.04', '18.06.04', '18.07.04', '18.14.04', '18.15.04', '18.16.04', '18.17.04', '18.18.04', '18.19.04', '18.20.04', '18.21.04', '18.22.04', '18.23.04']",30,1
Justice League Bad,"['17.23.11', '17.24.11', '17.25.11', '17.26.11', '17.27.11', '17.28.11', '17.29.11', '17.30.11', '17.01.12', '17.02.12', '17.03.12', '17.04.12']",12,1
Justice League reviewed by Mark Kermode,"['17.19.11', '17.20.11', '17.21.11', '17.22.11', '17.23.11', '17.24.11', '17.25.11', '17.26.11', '17.27.11', '17.28.11', '17.29.11', '17.30.11']",12,1
Last Week Tonight: Season 5 Official Trailer (HBO),"['18.24.01', '18.25.01', '18.26.01', '18.27.01', '18.28.01', '18.29.01', '18.30.01', '18.31.01', '18.01.02', '18.02.02', '18.03.02', '18.04.02', '18.05.02', '18.06.02', '18.07.02', '18.08.02', '18.09.02', '18.10.02', '18.11.02', '18.12.02', '18.13.02', '18.14.02', '18.15.02', '18.16.02']",24,1
Lean on Pete | Official Trailer HD | A24,"['17.09.12', '17.10.12', '17.11.12', '17.12.12', '17.13.12', '17.14.12', '17.15.12', '17.16.12', '17.17.12', '17.18.12', '17.19.12', '17.20.12', '17.21.12']",13,1
London Fields Trailer #1 (2018) | Movieclips Trailers,"['18.07.06', '18.08.06', '18.09.06', '18.10.06', '18.11.06', '18.12.06', '18.13.06', '18.14.06']",8,1
London Fields Trailer (2018) Amber Heard Movie,"['18.08.06', '18.09.06']",2,1
Lucas the Spider - Musical Spider,"['18.12.02', '18.13.02', '18.14.02', '18.15.02', '18.16.02', '18.17.02', '18.18.02', '18.19.02', '18.20.02', '18.21.02', '18.22.02', '18.23.02', '18.24.02', '18.25.02', '18.26.02', '18.27.02', '18.28.02', '18.01.03', '18.02.03', '18.03.03', '18.04.03', '18.05.03', '18.06.03']",23,1
Lucas the Spider - Polar Bear,"['18.07.03', '18.08.03', '18.09.03', '18.10.03', '18.11.03', '18.12.03', '18.13.03', '18.14.03', '18.15.03', '18.16.03', '18.17.03', '18.18.03', '18.19.03', '18.20.03', '18.21.03', '18.22.03', '18.23.03', '18.24.03', '18.25.03', '18.26.03', '18.27.03', '18.28.03', '18.29.03', '18.30.03', '18.31.03', '18.01.04', '18.02.04', '18.03.04', '18.04.04', '18.05.04', '18.06.04', '18.07.04']",32,1
Lyndon Poskitt Racing: Races to Places - Dakar Rally 2018 - Episode 12 - Stage 7,['18.17.01'],1,1
Lyndon Poskitt Racing: Races to Places - Dakar Rally 2018 - Episode 13 - Stage 8,"['18.18.01', '18.19.01', '18.20.01', '18.21.01', '18.22.01', '18.23.01', '18.24.01', '18.25.01', '18.26.01']",9,1
MY FAVOURITE FILMS THIS YEAR 🎬,"['17.20.12', '17.21.12', '17.22.12', '17.23.12', '17.24.12', '17.25.12', '17.26.12', '17.27.12', '17.28.12', '17.29.12', '17.30.12', '17.31.12', '18.01.01', '18.02.01', '18.03.01', '18.04.01', '18.05.01', '18.06.01']",18,1
Mamma Mia! Here We Go Again First Look (2018) | Movieclips Trailers,"['17.21.12', '17.22.12', '17.23.12', '17.24.12', '17.25.12', '17.26.12', '17.27.12', '17.28.12', '17.29.12', '17.30.12', '17.31.12', '18.01.01', '18.02.01', '18.03.01']",14,1
Marvel's Biggest Baddie Just Wants To Be Your Daddy (Avengers: Infinity War),"['18.02.05', '18.03.05', '18.04.05', '18.05.05', '18.06.05', '18.07.05', '18.08.05', '18.09.05']",8,1
Mary Poppins Returns Official Teaser Trailer,"['18.05.03', '18.06.03']",2,1
Master & Apprentice: Star Wars - Custom Lightsabers | Rooster Teeth,"['18.22.01', '18.23.01', '18.24.01', '18.25.01', '18.26.01', '18.27.01']",6,1
Mike Stoklasa: A Star Wars Story,"['18.30.01', '18.31.01', '18.01.02', '18.02.02', '18.03.02', '18.04.02']",6,1
Mini Wedding Cake for Valentine's Day Teeny Weeny Challenge #4,"['18.10.02', '18.11.02', '18.12.02', '18.13.02', '18.14.02', '18.15.02', '18.16.02', '18.17.02', '18.18.02', '18.19.02', '18.20.02', '18.21.02', '18.22.02', '18.23.02']",14,1
Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,"['18.17.05', '18.18.05', '18.19.05', '18.20.05', '18.21.05', '18.22.05', '18.23.05', '18.24.05', '18.25.05', '18.26.05', '18.27.05', '18.28.05', '18.29.05', '18.30.05', '18.31.05', '18.01.06', '18.02.06', '18.03.06', '18.04.06', '18.05.06']",20,1
New Rule: Distinction Deniers | Real Time with Bill Maher (HBO),"['18.22.01', '18.23.01', '18.24.01', '18.25.01', '18.26.01', '18.27.01', '18.28.01', '18.29.01', '18.30.01', '18.31.01', '18.01.02', '18.02.02']",12,1
Nothing is Sacred - Star Wars,"['18.15.03', '18.16.03', '18.17.03', '18.18.03', '18.19.03', '18.20.03']",6,1
Oats Studios - Praetoria,"['17.14.11', '17.15.11', '17.16.11']",3,1
On Chesil Beach Trailer #1 | Movieclips Trailers,"['18.24.02', '18.25.02', '18.26.02', '18.27.02', '18.28.02', '18.01.03', '18.02.03', '18.03.03', '18.04.03', '18.05.03']",10,1
Oscars 2018: Nominations Announcement,"['18.24.01', '18.25.01', '18.26.01', '18.27.01', '18.28.01', '18.29.01', '18.30.01', '18.31.01', '18.01.02', '18.02.02', '18.03.02', '18.04.02', '18.05.02']",13,1
